BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0.03935292084563424,0.0007872191162886214,0.09178972856153582,0.0,0.09178972856153582,0.0,0.00016035973469775148,0.0,8.01793862706338e-05,0.0,0.0,0.001924312967747082,0.962156483873541,0.19416518357979298,0.13423024612586662,0.0,0.011545877806482491
0.5042841303976976,0.0006166996331276222,0.009867194130041956,0.009867194130041956,0.0,0.0,5.1391430527424146e-05,5.1391430527424146e-05,0.0,0.0,0.0,0.0006166996331276222,0.7400395597531467,0.41832879947981255,0.15096266605075684,0.0,0.007400395597531468
0.5843141110725653,0.0003204086486944545,0.13976225256052105,0.0,0.13976225256052105,0.0,0.0003204086486944545,0.0,0.0003204086486944545,0.0,0.0,0.003844903784333454,0.7369398919972453,0.2175783252992089,0.17046829179541892,0.0,0.003844903784333454
0.14098781060084314,0.00013891430990473647,0.11967328883983142,0.09189042685888413,0.02778286198094729,0.0,4.630472366347552e-05,1.1576146187291404e-05,3.472857747618412e-05,0.0,0.0,0.0006945715495236823,0.9724001693331552,0.09561174229594022,0.043336181676764056,0.0,0.0016669717188568375
0.2060345218837138,0.0002672402374739202,0.4873861042577743,0.4873861042577743,0.0,0.0,8.165672108220427e-05,8.165672108220427e-05,0.0,0.0,0.0,0.0019597613059729024,0.6532537686576342,0.2304740136613877,0.05080650776771819,0.0,0.003919522611945805
0.6457432381832441,0.00023288718554718884,0.0,0.0,0.0,0.08076792853280848,0.0,0.0,0.0,1.9407187833203888e-05,0.00023288718554718884,0.0,0.6986615566415666,0.18762508920665477,0.23054966565896884,0.0,0.002794646226566266
0.1495632777951602,7.519248204754494e-05,0.03792332832067929,0.012481952019892458,0.02544137630078683,0.0,5.012834642919064e-05,6.266015106468062e-06,4.3862256130240526e-05,0.0,0.0,0.0006767323384279044,0.9775022666180841,0.1293940332760469,0.05598932933589898,0.0,0.0009023097845705392
0.05531373628919555,0.00032579331654032916,0.13018700928951554,0.0,0.13018700928951554,0.0,0.00032579331654032916,0.0,0.00032579331654032916,0.0,0.0,0.00390951979848395,0.9773799496209874,0.07014530207368305,0.05310611418787402,0.0,0.00390951979848395
0.5973646046529235,0.0003696638086876832,0.03770570848614369,0.03770570848614369,0.0,0.09050866620603958,6.16107580025501e-05,6.16107580025501e-05,0.0,9.24159521719208e-05,0.0018483190434384162,0.0007393276173753665,0.6284284747690615,0.32906690225590285,0.3590112839724663,0.0,0.004435965704252199
0.11497133053165741,0.000914686327373844,0.21337802644977033,0.0,0.21337802644977033,0.0,0.000914686327373844,0.0,0.000914686327373844,0.0,0.0,0.010976235928486127,0.9146863273738439,0.19004777629816977,0.15069349219028816,0.0,0.010976235928486127
